CaseID,ItemID,Batch,Type,PromptSnippet,Correct,Difficulty,DifficultyScore,CognitiveLevel,CalculationRequired,Topic
CBQ22-B1,CBQ22-B1-Q5,Batch1,select,What effect would implementing the lockbox have on the cash ,A,Moderate-Easy,2,Analyze,False,CCC sensitivity
CBQ22-B1,CBQ22-B1-Q6,Batch1,select,Which integrated recommendation should Lena present to the C,D,Difficult,4,Evaluate,False,Integrated financing plan
CBQ22-F1,CBQ22-F1-Q1,Batch1,select,Which IMA ethical standards are MOST directly implicated by ,C,Moderate,3,Apply,False,IMA standards mapping
CBQ22-F1,CBQ22-F1-Q2,Batch1,select,Under the IMA resolution process; what is Marcus's correct F,B,Moderate,3,Apply,False,Ethics resolution process
CBQ22-F1,CBQ22-F1-Q3,Batch1,select,What is the correct accounting conclusion for the $900K ship,A,Difficult,4,Analyze,False,Revenue recognition
CBQ22-F1,CBQ22-F1-Q4,Batch1,select,What does SOX Â§302 mean for the officers certifying these r,C,Moderate,3,Analyze,False,SOX certification
CBQ22-F1,CBQ22-F1-Q5,Batch1,select,How far do Marcus's confidentiality obligations extend if in,B,Difficult,4,Evaluate,False,Confidentiality boundaries
CBQ22-F1,CBQ22-F1-Q6,Batch1,select,Which overall course best integrates Marcus's professional o,D,Difficult,4,Evaluate,False,Integrated ethics decision
CBQ22-A2,CBQ22-A2-Q1,Batch1,numeric,Enter the quality-of-income ratio (operating cash flow Ã· ne,0.60,Moderate,3,Apply,True,Quality of income ratio
CBQ22-A2,CBQ22-A2-Q2,Batch1,numeric,Enter CORE earnings (excluding both transitory items; net of,22500000,Moderate,3,Apply,True,Core earnings normalization
CBQ22-A2,CBQ22-A2-Q3,Batch1,numeric,Enter CURRENT-year days sales outstanding using year-end rec,47.6,Moderate,3,Analyze,True,Days sales outstanding
CBQ22-A2,CBQ22-A2-Q4,Batch1,select,Which composite assessment does Exhibits 1 and 2 best suppor,C,Difficult,4,Analyze,False,Composite earnings quality
CBQ22-A2,CBQ22-A2-Q5,Batch1,select,Which additional artifact would MOST directly confirm channe,A,Difficult,4,Analyze,False,Evidence gathering
CBQ22-A2,CBQ22-A2-Q6,Batch1,select,Which valuation stance should Jordan's note take?,B,Difficult,4,Evaluate,False,Valuation stance
CBQ22-D2,CBQ22-D2-Q1,Batch1,numeric,Enter the INHERENT annual expected loss; in dollars.,450000,Moderate-Easy,2,Apply,True,Inherent expected loss
CBQ22-D2,CBQ22-D2-Q2,Batch1,numeric,Enter the RESIDUAL annual expected loss under the enhanced-M,180000,Moderate-Easy,2,Apply,True,Residual expected loss
CBQ22-D2,CBQ22-D2-Q3,Batch1,numeric,Enter the net YEAR-ONE economic benefit of the enhanced-MFA ,210000,Moderate,3,Analyze,True,Mitigation cost-benefit
CBQ22-D2,CBQ22-D2-Q4,Batch1,select,Classify the three candidate responses in the COSO ERM taxon,D,Moderate,3,Apply,False,Response taxonomy
CBQ22-D2,CBQ22-D2-Q5,Batch1,select,Insurance alone carries a $90K premium and transfers losses ,B,Difficult,4,Analyze,False,Share versus reduce
CBQ22-D2,CBQ22-D2-Q6,Batch1,select,What should Sofia recommend to the audit committee?,A,Difficult,4,Evaluate,False,Committee recommendation
CBQ22-C1,CBQ22-C1-Q1,Batch1,numeric,Under the Strong-demand planning case; determine the total s,378000,Moderate,3,Apply,True,Constrained-resource product mix
CBQ22-C1,CBQ22-C1-Q2,Batch1,numeric,Compute the expected annual contribution of the Cascade-prio,368600,Moderate,3,Apply,True,Expected monetary value
CBQ22-C1,CBQ22-C1-Q3,Batch1,select,What is the expected value of perfect information about next,B,Moderate,3,Analyze,True,Value of perfect information
CBQ22-C1,CBQ22-C1-Q4,Batch1,select,Summit Research Partners offers a syndicated study that woul,D,Moderate,3,Analyze,True,Purchased forecast versus EVPI
CBQ22-C1,CBQ22-C1-Q5,Batch1,multi,Which three statements about Kestrel Peak's scheduling decis,Ranking the packs by contribution margin per stitching-hour;,Difficult,4,Evaluate,False,Decision-analysis interpretation
CBQ22-C1,CBQ22-C1-Q6,Batch1,match,Match each decision-analysis quantity from the Kestrel Peak ,{'Expected value without perfect information': '$368;600'; ',Moderate,3,Evaluate,False,Decision-analysis recap
CBQ22-E1,CBQ22-E1-Q1,Batch1,numeric,Ignoring the compressor decision; identify the affordable pa,322000,Difficult,4,Apply,True,Capital rationing package selection
CBQ22-E1,CBQ22-E1-Q2,Batch1,numeric,Using the Exhibit 3 factors (PVIFA at 10% for 4 years = 3.16,34122,Difficult,4,Apply,True,Equivalent annual annuity
CBQ22-E1,CBQ22-E1-Q3,Batch1,select,Which replacement should the committee authorize; and on wha,A,Difficult,4,Analyze,True,Unequal-life replacement decision
CBQ22-E1,CBQ22-E1-Q4,Batch1,select,Treasury staff proposed funding projects strictly in descend,C,Difficult,4,Analyze,True,Profitability index under rationing
CBQ22-E1,CBQ22-E1-Q5,Batch1,multi,Which three statements about Bluewater's investment decision,Profitability index is an efficient screen; but with indivis,Difficult,4,Evaluate,False,Rationing and EAA judgment
CBQ22-E1,CBQ22-E1-Q6,Batch1,match,Match each quantity from the Bluewater analysis to its corre,{'Adopted package â€” aggregate NPV': '$322;000'; 'Profitabi,Difficult,4,Evaluate,False,Investment-decision recap
CBQ22-B2,CBQ22-B2-Q1,Batch1,numeric,Compute the blended pre-tax cost of debt Silverpine should u,6.67,Moderate,3,Apply,True,Blended cost of debt
CBQ22-B2,CBQ22-B2-Q2,Batch1,numeric,Recalculate Silverpine's WACC at the post-closing market-val,8.95,Moderate,3,Apply,True,WACC recalculation
CBQ22-B2,CBQ22-B2-Q3,Batch1,select,Before the new loan; WACC stood at 9.25 percent on the old s,C,Moderate,3,Analyze,False,Capital-structure effect on WACC
CBQ22-B2,CBQ22-B2-Q4,Batch1,select,Using a 365-day year; compute the current-year components an,B,Moderate,3,Analyze,True,Cash conversion cycle diagnosis
CBQ22-B2,CBQ22-B2-Q5,Batch1,multi,Which three statements about Silverpine's renewal package ar,Applying the refreshed 8.95 percent WACC as the discount rat,Difficult,4,Evaluate,False,Renewal-readiness evaluation
CBQ22-B2,CBQ22-B2-Q6,Batch1,match,Match each finance metric from the Silverpine refresh to its,{'Cost of equity (CAPM)': '10.60%'; 'Blended after-tax cost ,Moderate,3,Evaluate,False,Corporate-finance metric recap
CBQ22-C2,CBQ22-C2-Q1,Batch1,numeric,Using Exhibit 1; what is the total annual relevant cost of c,864000,Moderate-Easy,2,Apply,True,Relevant costs
CBQ22-C2,CBQ22-C2-Q2,Batch1,numeric,Incorporating the best alternative use of the assembly bay f,162000,Moderate,3,Apply,True,Opportunity cost
CBQ22-C2,CBQ22-C2-Q3,Batch1,select,Which statement correctly identifies the cost inputs relevan,B,Moderate,3,Analyze,False,Cost relevance
CBQ22-C2,CBQ22-C2-Q4,Batch1,select,At what purchase price per unit from Vantage would Kestrel b,D,Difficult,4,Analyze,True,Indifference analysis
CBQ22-C2,CBQ22-C2-Q5,Batch1,multi,Which THREE statements describe valid considerations Dana sh,Vantage holds its quoted price firm for three years; stabili,Moderate,3,Evaluate,False,Qualitative factors
CBQ22-C2,CBQ22-C2-Q6,Batch1,match,Match each decision element from the PX-7 analysis to the va,{'Avoidable fixed overhead': '$216;000'; 'Opportunity cost o,Difficult,4,Evaluate,False,Decision elements
CBQ22-D3,CBQ22-D3-Q1,Batch1,numeric,Using the register's scales; what is the inherent risk score,12,Moderate-Easy,2,Apply,True,Risk assessment
CBQ22-D3,CBQ22-D3-Q2,Batch1,numeric,After crediting the controls listed for R-01; what is the re,10,Moderate-Easy,2,Apply,True,Risk assessment
CBQ22-D3,CBQ22-D3-Q3,Batch1,select,Applying the appetite bands in the board statement to the re,A,Moderate,3,Analyze,False,Risk appetite
CBQ22-D3,CBQ22-D3-Q4,Batch1,select,Given R-01's position after current controls; which response,D,Difficult,4,Analyze,False,Risk response
CBQ22-D3,CBQ22-D3-Q5,Batch1,multi,Which THREE actions would most strengthen the credibility of,Anchor every rating to the published scale definitions and d,Moderate,3,Evaluate,False,Risk governance
CBQ22-D3,CBQ22-D3-Q6,Batch1,match,Match each COSO ERM response category to the example that be,{'Risk acceptance': 'Retaining port congestion within the mo,Moderate,3,Evaluate,False,Risk responses
CBQ22-F2,CBQ22-F2-Q1,Batch1,numeric,If the held supplier invoices were properly recorded as of J,1.35,Moderate-Easy,2,Apply,True,Financial statement cut-off
CBQ22-F2,CBQ22-F2-Q2,Batch1,numeric,By how much does holding the invoices overstate the reported,0.15,Moderate,3,Apply,True,Ratio distortion
CBQ22-F2,CBQ22-F2-Q3,Batch1,select,Under the IMA Statement of Ethical Professional Practice; wh,C,Moderate,3,Analyze,False,IMA standards
CBQ22-F2,CBQ22-F2-Q4,Batch1,select,Following the IMA resolution model; what is Daniel's require,A,Moderate,3,Analyze,False,Ethics resolution
CBQ22-F2,CBQ22-F2-Q5,Batch1,multi,Which THREE actions align with IMA guidance as Daniel works ,Consult Atlas's written ethics policy and use internal confi,Moderate,3,Evaluate,False,Ethics resolution
CBQ22-F2,CBQ22-F2-Q6,Batch1,match,Match each IMA standard to the duty it imposes on Daniel in ,{'Competence': 'Maintain professional expertise and perform ,Moderate,3,Evaluate,False,IMA standards
CBQ22-A3,CBQ22-A3-Q1,Batch1,mcq,Under ASC 830; which translation methodology is generally re,A,Moderate,3,Apply,,ASC 830 translation methodology
CBQ22-A3,CBQ22-A3-Q2,Batch1,mcq,Given that Argentina's economy is hyperinflationary under AS,A,Moderate,3,Apply,,Hyperinflationary remeasurement mechanics
CBQ22-A3,CBQ22-A3-Q3,Batch1,mcq,If Flash Tech Argentina's remeasured net assets of ARS 40;00,B,Moderate,3,Analyze,,Translation adjustment under ASC 830-30-45
CBQ22-A3,CBQ22-A3-Q4,Batch1,mcq,Which of the following best describes the most material conc,C,Moderate,3,Analyze,,ASC 830 vs IAS 21 framework comparison
CBQ22-A3,CBQ22-A3-Q5,Batch1,mcq,CFO Mariela Hoffmann asks whether to switch the consolidated,A,Difficult,4,Evaluate,,Presentation currency choice under ASC 830
CBQ22-A3,CBQ22-A3-Q6,Batch1,mcq,Flash Tech Argentina holds a USD-denominated third-party rec,A,Difficult,4,Evaluate,,CECL with FX-denominated receivables
CBQ22-F3,CBQ22-F3-Q1,Batch1,mcq,Under SAB 99 and SAB Topic 1.M; which of the following is th,A,Moderate,3,Apply,,SAB 99 materiality framework
CBQ22-F3,CBQ22-F3-Q2,Batch1,mcq,Under ASC 450-20; when is accrual of a contingent liability ,A,Moderate,3,Apply,,ASC 450-20 contingent liability thresholds
CBQ22-F3,CBQ22-F3-Q3,Batch1,mcq,Which statement best describes the interaction between SOX S,C,Moderate,3,Analyze,,SOX 302/404 interaction
CBQ22-F3,CBQ22-F3-Q4,Batch1,mcq,Under the IMA Statement of Ethical Professional Practice; wh,A,Moderate,3,Analyze,,IMA Credibility principle applied to governance disclosure
CBQ22-F3,CBQ22-F3-Q5,Batch1,mcq,Which recommendation to the audit committee best reconciles ,A,Difficult,4,Evaluate,,Disclosure strategy reconciling ethics and risk
CBQ22-F3,CBQ22-F3-Q6,Batch1,mcq,CFO Hoffmann prefers to defer disclosure until the inquiry r,A,Difficult,4,Evaluate,,IMA Integrity tension with deferral preference
CBQ22-B3,CBQ22-B3-Q1,Batch1,mcq,Under the residual dividend model; with $80M net income; $90,A,Moderate,3,Apply,,Residual dividend model computation
CBQ22-B3,CBQ22-B3-Q2,Batch1,mcq,If the board approves the dividend hike to $0.55 per share q,B,Moderate,3,Apply,,Dividend coverage ratio computation
CBQ22-B3,CBQ22-B3-Q3,Batch1,mcq,Modigliani-Miller dividend-irrelevance theory; with perfect ,B,Moderate,3,Analyze,,MM dividend-irrelevance theory application
CBQ22-B3,CBQ22-B3-Q4,Batch1,mcq,Which clientele-effect argument best explains why Flash Capi,B,Moderate,3,Analyze,,Clientele effects of payout change
CBQ22-B3,CBQ22-B3-Q5,Batch1,mcq,Given stable free cash flow of $55M; $120M of debt maturing ,B,Difficult,4,Evaluate,,Capital-return policy under financial-flexibility constraint
CBQ22-B3,CBQ22-B3-Q6,Batch1,mcq,From a signaling perspective; which statement best character,A,Difficult,4,Evaluate,,Signaling effects of dividend hike vs buyback
CBQ22-B4,CBQ22-B4-Q1,Batch2,numeric,Enter Meridian's cost of common equity via CAPM; in percent ,10.88,Moderate,3,Apply,True,Cost of common equity â€” CAPM
CBQ22-B4,CBQ22-B4-Q2,Batch2,numeric,Enter Meridian's WACC using retained earnings (before the br,9.41,Moderate,3,Apply,True,Weighted average cost of capital
CBQ22-B4,CBQ22-B4-Q3,Batch2,select,Which statement correctly locates the marginal-cost break an,B,Difficult,4,Analyze,True,Marginal cost of capital
CBQ22-B4,CBQ22-B4-Q4,Batch2,select,What does the working-capital data imply for Meridian's fund,A,Difficult,4,Analyze,True,Cash conversion cycle
CBQ22-B4,CBQ22-B4-Q5,Batch2,multi,Which two statements correctly frame Meridian's capital-stru,The trade-off is the present value of the debt tax shield (R,Difficult,4,Evaluate,False,Optimal leverage and financing hierarchy
CBQ22-B4,CBQ22-B4-Q6,Batch2,match,Match each corporate-finance concept to its Meridian fact.,{'CAPM equity cost driver': 'Beta x market risk premium â€” ,Moderate,3,Evaluate,False,Concept-to-fact mapping
CBQ22-D4,CBQ22-D4-Q1,Batch2,numeric,Enter the risk score (Likelihood x Severity) for R3 â€” Cont,20,Moderate,3,Apply,True,Risk score and heat-map ranking
CBQ22-D4,CBQ22-D4-Q2,Batch2,numeric,Enter the residual annual expected loss for R3 after the enh,160000,Moderate,3,Apply,True,Residual expected loss after mitigation
CBQ22-D4,CBQ22-D4-Q3,Batch2,select,Which statement correctly distinguishes the three board boun,C,Moderate,3,Analyze,False,Risk appetite vs tolerance vs capacity
CBQ22-D4,CBQ22-D4-Q4,Batch2,select,Classify the four candidate responses in Exhibit 3 within th,C,Moderate,3,Analyze,False,Risk response strategies
CBQ22-D4,CBQ22-D4-Q5,Batch2,multi,Which three risks have a residual (or inherent; where no eff,R1 â€” Midstream pipeline release at $480;000 expected loss|,Difficult,4,Evaluate,True,Appetite breach and escalation
CBQ22-D4,CBQ22-D4-Q6,Batch2,match,Match each COSO ERM 2017 component to its Valmont activity.,{'Governance & Culture': 'Board sets $300;000 appetite and T,Moderate,3,Evaluate,False,COSO ERM 2017 framework
CBQ22-E2,CBQ22-E2-Q1,Batch2,numeric,Enter Alpha's Year 2 after-tax cash flow (operating only; ex,486000,Moderate,3,Apply,True,After-tax cash flow with MACRS
CBQ22-E2,CBQ22-E2-Q2,Batch2,numeric,Enter Alpha's NPV at 10% (including after-tax salvage); in d,323646,Difficult,4,Apply,True,Net present value
CBQ22-E2,CBQ22-E2-Q3,Batch2,select,Alpha and Beta are mutually exclusive with unequal lives. Wh,B,Difficult,4,Analyze,True,Equivalent annual annuity
CBQ22-E2,CBQ22-E2-Q4,Batch2,select,For Beta; how should the $900;000 abandonment alternative at,A,Difficult,4,Analyze,True,Real option â€” abandonment
CBQ22-E2,CBQ22-E2-Q5,Batch2,multi,Which two cash-flow items are RELEVANT to the Alpha vs Beta ,Incremental operating savings ($520k Alpha vs $480k Beta) an,Moderate,3,Analyze,False,Relevant cash flows and sensitivity
CBQ22-E2,CBQ22-E2-Q6,Batch2,match,Match each Harborview concept to its correct treatment.,{'ATCF Year 2 $486;000': '520k*0.75 + 384k*0.25 = 390k + 96k,Moderate,3,Evaluate,False,Integrated capital budgeting
CBQ22-B5,CBQ22-B5-Q1,Batch1,numeric,Enter the annualized yen premium (positive) for the 90-day f,8.11,Difficult,4,Apply,True,FX premium
CBQ22-B5,CBQ22-B5-Q2,Batch1,numeric,Enter the USD cost via 90-day forward; rounded to nearest do,1379310,Moderate,3,Apply,True,Forward cost
CBQ22-B5,CBQ22-B5-Q3,Batch1,select,Which statement about money-market hedge vs forward is corre,B,Difficult,4,Analyze,False,Hedge comparison
CBQ22-B5,CBQ22-B5-Q4,Batch1,select,What is unhedged USD cost if yen strengthens to 142 at matur,A,Moderate,3,Apply,False,Unhedged
CBQ22-B5,CBQ22-B5-Q5,Batch1,multi,Which two factors favor forward over MMH here? (Select two),Forward requires no JPY borrowing facility|Forward locks wit,Moderate,3,Analyze,False,Factors
CBQ22-B5,CBQ22-B5-Q6,Batch1,match,Match FX concept to SkyWest,{'Forward 145 vs spot 148': 'Yen premium â€” forward costs m,Moderate,3,Evaluate,False,Integration
CBQ22-D5,CBQ22-D5-Q1,Batch1,numeric,Enter the risk score for failed trades if Likelihood 4 and S,16,Moderate,3,Apply,True,Risk score
CBQ22-D5,CBQ22-D5-Q2,Batch1,numeric,Enter the expected loss for failed trades if impact $8M and ,320000,Moderate,3,Apply,True,Expected loss
CBQ22-D5,CBQ22-D5-Q3,Batch1,select,Which boundary is breached and which COSO ERM component gove,B,Moderate,3,Analyze,False,Boundary vs component
CBQ22-D5,CBQ22-D5-Q4,Batch1,select,What is correct response classification for adding real-time,A,Moderate,3,Apply,False,Reduce vs share
CBQ22-D5,CBQ22-D5-Q5,Batch1,multi,Which two conditions require board escalation now? (Select t,Failed trades 4.2% > tolerance 3.5% â€” escalate|Liquidity 1,Moderate,3,Analyze,False,Criteria
CBQ22-D5,CBQ22-D5-Q6,Batch1,match,Match ERM component to Sterling activity,{'Governance & Culture': 'Board sets appetite 2% and toleran,Moderate,3,Evaluate,False,Integration
CBQ22-E3,CBQ22-E3-Q1,Batch1,numeric,Enter Option X Year 2 ATCF; in dollars.,48600,Moderate,3,Apply,True,ATCF
CBQ22-E3,CBQ22-E3-Q2,Batch1,numeric,Enter Option X NPV; in dollars (nearest).,44900,Difficult,4,Apply,True,NPV
CBQ22-E3,CBQ22-E3-Q3,Batch1,select,Which ranking method is correct for unequal lives?,B,Moderate,3,Analyze,False,EAA ranking
CBQ22-E3,CBQ22-E3-Q4,Batch1,select,Why does MACRS matter here?,A,Moderate,3,Analyze,False,MACRS effect
CBQ22-E3,CBQ22-E3-Q5,Batch1,multi,Which two items are relevant to X vs Y? (Select two),Pre-tax savings differential $4k/yr|MACRS shield differentia,Moderate,3,Analyze,False,Items
CBQ22-E3,CBQ22-E3-Q6,Batch1,match,Match investment concept to Apex,{'ATCF 48.6k': '52k*0.75+38.4k*0.25'; 'NPV X ~32.4k': 'PV AT,Difficult,4,Evaluate,False,Integration
CBQ22-A4,CBQ22-A4-Q1,Batch1,numeric,Enter the degree of operating leverage at current sales; rou,2.50,Moderate,3,Apply,True,DOL
CBQ22-A4,CBQ22-A4-Q2,Batch1,numeric,Enter the degree of financial leverage; rounded to two decim,1.67,Moderate,3,Apply,True,DFL
CBQ22-A4,CBQ22-A4-Q3,Batch1,numeric,Enter the total degree of leverage (TDTL); rounded to two de,4.17,Moderate,3,Apply,True,TDTL
CBQ22-A4,CBQ22-A4-Q4,Batch1,select,Does Sentinel pass the FCC covenant and what does leverage i,A,Difficult,4,Analyze,False,FCC and leverage
CBQ22-A4,CBQ22-A4-Q5,Batch1,multi,Which two actions reduce leverage risk? (Select two),Shift fixed to variable via outsourcing â€” lowers DOL|Refin,Moderate,3,Analyze,False,Leverage reduction
CBQ22-A4,CBQ22-A4-Q6,Batch1,match,Match leverage concept to Sentinel,{'DOL 2.50': 'CM/OI â€” operating fixity'; 'DFL 1.67': 'OI/(,Moderate,3,Evaluate,False,Leverage mapping
CBQ22-C3,CBQ22-C3-Q1,Batch1,numeric,Enter joint cost allocated to Product A via NRV; in dollars.,53333,Moderate,3,Apply,True,NRV allocation
CBQ22-C3,CBQ22-C3-Q2,Batch1,numeric,Enter joint cost allocated to Product B; in dollars.,40000,Moderate,3,Apply,True,NRV B
CBQ22-C3,CBQ22-C3-Q3,Batch1,select,Should Product A be processed further?,A,Moderate,3,Analyze,False,Further A
CBQ22-C3,CBQ22-C3-Q4,Batch1,select,Should Product B be processed further?,B,Moderate,3,Analyze,False,Further B
CBQ22-C3,CBQ22-C3-Q5,Batch1,multi,Which two statements about joint costs are correct? (Select ,Joint cost is sunk for sell-or-process decisions â€” only in,Moderate,3,Analyze,False,Joint nature
CBQ22-C3,CBQ22-C3-Q6,Batch1,match,Match ChemCore concept to treatment,{'A allocation 53;333': '120kÃ—80/180 â€” NRV% of joint'; 'B,Moderate,3,Evaluate,False,Joint mapping
CBQ22-F4,CBQ22-F4-Q1,Batch1,select,Does the $80k violate FCPA anti-bribery?,A,Difficult,4,Analyze,False,Anti-bribery
CBQ22-F4,CBQ22-F4-Q2,Batch1,select,Does booking as 'consulting fees' violate books-and-records?,A,Difficult,4,Analyze,False,Books-and-records
CBQ22-F4,CBQ22-F4-Q3,Batch1,select,Is facilitating exception available for the $80k?,B,Moderate,3,Analyze,False,Facilitating
CBQ22-F4,CBQ22-F4-Q4,Batch1,select,What is the SOX404 implication of the template that auto-boo,B,Difficult,4,Evaluate,False,SOX404
CBQ22-F4,CBQ22-F4-Q5,Batch1,multi,Which three controls address Veridian's risks? (Select three,Enhanced due diligence on third-party agents with red-flag s,Difficult,4,Evaluate,False,Controls
CBQ22-F4,CBQ22-F4-Q6,Batch1,match,Match Veridian fact to treatment,{'$80k to customs for $1.2M contract': 'Anti-bribery violati,Moderate,3,Evaluate,False,FCPA mapping
CBQ23-C1,CBQ23-C1-Q1,Batch1,numeric,Enter Atlas's RELEVANT in-house cost per bracket (the cost a,19.50,Moderate,3,Apply,True,Relevant cost identification
CBQ23-C1,CBQ23-C1-Q2,Batch1,numeric,Enter the outsourcing PREMIUM per unit before considering re,4.50,Moderate-Easy,2,Apply,True,Outsourcing premium
CBQ23-C1,CBQ23-C1-Q3,Batch1,numeric,Enter the net ANNUAL advantage of outsourcing (including rel,425000,Difficult,4,Analyze,True,Net benefit of outsourcing
CBQ23-C1,CBQ23-C1-Q4,Batch1,select,Which cost element is IRRELEVANT to the make-or-buy decision,B,Moderate-Easy,2,Understand,False,Cost relevance test
CBQ23-C1,CBQ23-C1-Q5,Batch1,select,Which qualitative factor deserves the MOST weight before exe,B,Moderate,3,Analyze,False,Sourcing risk
CBQ23-C1,CBQ23-C1-Q6,Batch1,select,What should Luis recommend to the executive committee?,C,Difficult,4,Evaluate,False,Sourcing recommendation
CBQ23-E1,CBQ23-E1-Q1,Batch1,numeric,Enter the annual AFTER-TAX operating cash flow (years 1-5); ,137500,Moderate,3,Apply,True,After-tax cash flow
CBQ23-E1,CBQ23-E1-Q2,Batch1,numeric,Enter the project NPV in dollars (answers within Â±$1;000 ac,49170,Difficult,4,Apply,True,Net present value
CBQ23-E1,CBQ23-E1-Q3,Batch1,numeric,Enter the simple payback period in years; rounded to two dec,3.64,Moderate-Easy,2,Apply,True,Payback period
CBQ23-E1,CBQ23-E1-Q4,Batch1,select,Which statement about the profitability index is correct?,A,Moderate,3,Analyze,False,Profitability index
CBQ23-E1,CBQ23-E1-Q5,Batch1,select,Why does Anita lead with NPV rather than IRR for this propos,B,Moderate,3,Analyze,False,NPV versus IRR
CBQ23-E1,CBQ23-E1-Q6,Batch1,select,Which recommendation best integrates the metrics and the sav,A,Difficult,4,Evaluate,False,Investment recommendation
CBQ23-C2,CBQ23-C2-Q1,Batch1,numeric,Enter the MONTHLY incremental contribution margin the order ,20400,Moderate-Easy,2,Apply,True,Special order margin
CBQ23-C2,CBQ23-C2-Q2,Batch1,numeric,Enter the MONTHLY opportunity cost of the regular sales that,32000,Moderate,3,Analyze,True,Opportunity cost
CBQ23-C2,CBQ23-C2-Q3,Batch1,numeric,Enter the NET monthly effect of accepting the order as offer,-11600,Moderate,3,Analyze,True,Special order net effect
CBQ23-C2,CBQ23-C2-Q4,Batch1,numeric,Enter the MINIMUM acceptable price per unit for the full 1;2,74.67,Very Difficult,4,Apply,True,Minimum acceptable price
CBQ23-C2,CBQ23-C2-Q5,Batch1,select,Which counterproposal preserves Hartwell's economics while k,B,Difficult,3,Analyze,False,Counterproposal design
CBQ23-C2,CBQ23-C2-Q6,Batch1,select,Which recommendation should Dana deliver to the sales VP?,D,Difficult,4,Evaluate,False,Negotiation recommendation
CBQ23-F2,CBQ23-F2-Q1,Batch1,select,Mapped to the fraud triangle; which element does the EVIDENC,A,Moderate,3,Analyze,False,Fraud triangle
CBQ23-F2,CBQ23-F2-Q2,Batch1,select,What are Elena's correct IMMEDIATE actions upon completing h,B,Moderate,3,Apply,False,Discovery response
CBQ23-F2,CBQ23-F2-Q3,Batch1,select,Which REMEDIATION should Elena propose as the highest-priori,C,Moderate,3,Analyze,False,Control remediation
CBQ23-F2,CBQ23-F2-Q4,Batch1,select,Which action would VIOLATE proper investigation boundaries i,C,Moderate,3,Analyze,False,Investigation boundaries
CBQ23-F2,CBQ23-F2-Q5,Batch1,select,Which committee-level response package is complete and corre,B,Difficult,4,Evaluate,False,Governance response
CBQ23-F2,CBQ23-F2-Q6,Batch1,select,Which ANTI-FRAUD PROGRAM design best prevents recurrence net,D,Difficult,4,Evaluate,False,Anti-fraud program design
CBQ23-A1,CBQ23-A1-Q1,Batch1,numeric,Using Exhibit 1; calculate Halvorsen's current ratio at Dece,2.35,Moderate,3,Apply,True,Current ratio
CBQ23-A1,CBQ23-A1-Q2,Batch1,numeric,Using Exhibit 2; calculate Halvorsen's fiscal 2025 times int,4.00,Moderate,3,Apply,True,Times interest earned
CBQ23-A1,CBQ23-A1-Q3,Batch1,select,Per the term sheet; Ridgeway's preliminary adjusted-leverage,C,Moderate,3,Analyze,False,Adjusted debt-to-equity
CBQ23-A1,CBQ23-A1-Q4,Batch1,select,Halvorsen de Mexico keeps its books in pesos; which is its f,B,Moderate,3,Analyze,False,Foreign-currency translation
CBQ23-A1,CBQ23-A1-Q5,Batch1,multi,Ridgeway's buyer credit policy treats unrecorded obligations,Parent guarantee of Halvorsen de Mexico bank debt (wholly ow,Difficult,4,Evaluate,False,Debt-like adjustments
CBQ23-A1,CBQ23-A1-Q6,Batch1,match,Match each balance-sheet or diligence item to its correct tr,{'Current portion of long-term debt': 'Included in current l,Difficult,4,Evaluate,False,Ratio classification treatments
CBQ23-B1,CBQ23-B1-Q1,Batch1,numeric,Using Exhibit 3; calculate Bellhaven's expected dividend pay,50.0,Moderate,3,Apply,True,Dividend payout ratio
CBQ23-B1,CBQ23-B1-Q2,Batch1,numeric,If Bellhaven executes Option 2 in full; calculate pro forma ,4.40,Difficult,4,Apply,True,Pro forma interest coverage
CBQ23-B1,CBQ23-B1-Q3,Batch1,select,Using Exhibits 2 and 3; which option produces the lowest pro,B,Difficult,4,Analyze,False,Covenant headroom ranking
CBQ23-B1,CBQ23-B1-Q4,Batch1,select,The committee asks why the Option 2 repurchase is preferable,D,Difficult,4,Analyze,False,Repurchase versus special dividend
CBQ23-B1,CBQ23-B1-Q5,Batch1,multi,Which three statements correctly justify approving Option 2 ,Pro forma times interest earned of 4.40x remains above the 4,Difficult,4,Evaluate,False,Capital-return constraint testing
CBQ23-B1,CBQ23-B1-Q6,Batch1,match,Match each element of the capital-return package to its corr,{'Times interest earned covenant': 'Tested quarterly on trai,Difficult,4,Evaluate,False,Capital-return mechanics
CBQ23-D1,CBQ23-D1-Q1,Batch1,numeric,Using Exhibit 1; compute the inherent risk score for R-01 on,20,Moderate,3,Apply,True,Inherent risk scoring
CBQ23-D1,CBQ23-D1-Q2,Batch1,numeric,Using Exhibit 1; compute the residual risk score for R-01 af,11,Moderate,3,Apply,True,Residual risk computation
CBQ23-D1,CBQ23-D1-Q3,Batch1,select,Based on the annualized economics in Exhibit 2; which respon,A,Moderate,3,Analyze,False,Risk response selection
CBQ23-D1,CBQ23-D1-Q4,Batch1,select,After funding the response chosen in Q3; R-02's residual sco,C,Moderate,3,Analyze,False,Appetite and residual monitoring
CBQ23-D1,CBQ23-D1-Q5,Batch1,multi,Oyelaran asked for leading key risk indicators for R-01. Whi,Percentage of resin spend concentrated in the top three supp,Difficult,4,Evaluate,False,Key risk indicator selection
