QuestionID,CaseID,File,Domain,Topic,QuestionType,BloomLevel,Prompt
CBQ3-F2-Q5,CBQ3-F2,scored_cases3.js,Technology and Analytics,Data storytelling — matching visualization to communication goal,match,Evaluate,Insight Analytics trains the client's finance team on data storytelling. Match each data presentation goal to the visual
CBQ4-A1-Q1,CBQ4-A1,scored_cases4.js,External Financial Reporting Decisions,Goodwill,numeric,Apply,Calculate the initial amount of Goodwill recognized on the acquisition date.
CBQ4-A1-Q2,CBQ4-A1,scored_cases4.js,External Financial Reporting Decisions,Impairment,numeric,Apply,Calculate the goodwill impairment loss recognized at the end of Year 2.
CBQ4-A1-Q3,CBQ4-A1,scored_cases4.js,External Financial Reporting Decisions,Intangibles,match,Analyze,Match the asset to its correct amortization and impairment treatment under US GAAP.
CBQ4-A1-Q5,CBQ4-A1,scored_cases4.js,External Financial Reporting Decisions,Impairment,select,Analyze,"If a reporting unit's fair value is greater than its carrying amount, what is the next step for goodwill impairment test"
CBQ4-A1-Q4,CBQ4-A1,scored_cases4.js,External Financial Reporting Decisions,Intangibles,multi,Evaluate,Which of the following would be capitalized as part of the cost of an internally developed patent?
CBQ4-A2-Q5,CBQ4-A2,scored_cases4.js,External Financial Reporting Decisions,Contingencies,fill,Understand,A contingent gain is generally recognized in the financial statements only when it is ____________.
CBQ4-A2-Q1,CBQ4-A2,scored_cases4.js,External Financial Reporting Decisions,Warranties,numeric,Apply,Calculate the total warranty expense reported on the Year 1 income statement.
CBQ4-A2-Q2,CBQ4-A2,scored_cases4.js,External Financial Reporting Decisions,Warranties,numeric,Apply,Calculate the warranty liability balance at the end of Year 1.
CBQ4-A2-Q3,CBQ4-A2,scored_cases4.js,External Financial Reporting Decisions,Contingencies,numeric,Apply,What amount should Nova accrue as a liability for the Patent Infringement lawsuit?
CBQ4-A2-Q4,CBQ4-A2,scored_cases4.js,External Financial Reporting Decisions,Contingencies,select,Analyze,How should Nova handle the Environmental Fine claim?
CBQ4-B1-Q1,CBQ4-B1,scored_cases4.js,"Planning, Budgeting, and Forecasting",High-Low,numeric,Apply,Calculate the variable cost per machine hour using the High-Low method.
CBQ4-B1-Q2,CBQ4-B1,scored_cases4.js,"Planning, Budgeting, and Forecasting",High-Low,numeric,Apply,Calculate the total fixed cost using the High-Low method.
CBQ4-B1-Q3,CBQ4-B1,scored_cases4.js,"Planning, Budgeting, and Forecasting",Regression,numeric,Apply,"What is the estimated total cost for 7,000 hours using the Regression model?"
CBQ4-B1-Q4,CBQ4-B1,scored_cases4.js,"Planning, Budgeting, and Forecasting",Regression,select,Analyze,What does the R-squared value of 0.85 indicate?
CBQ4-B1-Q5,CBQ4-B1,scored_cases4.js,"Planning, Budgeting, and Forecasting",Cost Behavior,multi,Evaluate,What are the primary disadvantages of the High-Low method compared to regression?
CBQ4-C1-Q1,CBQ4-C1,scored_cases4.js,Performance Management,VOH Variances,numeric,Apply,"Calculate the Variable Overhead Spending Variance (enter unfavorable as positive, favorable as negative, or just absolut"
CBQ4-C1-Q2,CBQ4-C1,scored_cases4.js,Performance Management,VOH Variances,numeric,Apply,Calculate the Variable Overhead Efficiency Variance.
CBQ4-C1-Q3,CBQ4-C1,scored_cases4.js,Performance Management,FOH Variances,numeric,Apply,Calculate the Fixed Overhead Production-Volume Variance.
CBQ4-C1-Q4,CBQ4-C1,scored_cases4.js,Performance Management,FOH Variances,numeric,Apply,Calculate the Fixed Overhead Spending (Budget) Variance.
CBQ4-C1-Q5,CBQ4-C1,scored_cases4.js,Performance Management,Overhead Variances,select,Analyze,Which variance is NEVER considered controllable by the production supervisor?
CBQ4-C2-Q1,CBQ4-C2,scored_cases4.js,Performance Management,ABC cost hierarchy — activity classification,match,Analyze,Great Lakes Distribution uses the ABC cost hierarchy to classify activities. Match each activity cost to the correct hie
CBQ4-C2-Q2,CBQ4-C2,scored_cases4.js,Performance Management,Cost driver identification in ABC,match,Analyze,"Based on the ABC cost hierarchy, match each cost driver to the cost it most appropriately drives."
CBQ4-C2-Q3,CBQ4-C2,scored_cases4.js,Performance Management,Allocation base selection for customer profitability,match,Analyze,"Referring to Exhibit 1, Great Lakes Distribution wants to calculate customer-level profitability. Match each cost alloca"
CBQ4-C2-Q4,CBQ4-C2,scored_cases4.js,Performance Management,Customer profitability analysis — interpreting results,match,Evaluate,"Using the data in Exhibit 1, classify each customer based on the likely profitability profile when ABC costing is applie"
CBQ4-C2-Q5,CBQ4-C2,scored_cases4.js,Performance Management,Strategic actions from customer profitability analysis,match,Evaluate,"Based on the customer profitability analysis, Great Lakes Distribution is considering strategic actions. Match each pote"
CBQ4-D1-Q1,CBQ4-D1,scored_cases4.js,Cost Management,Throughput contribution,numeric,Apply,Calculate the throughput contribution per unit for Product Z.
CBQ4-D1-Q2,CBQ4-D1,scored_cases4.js,Cost Management,Optimal product mix — TOC,numeric,Apply,Calculate the total monthly throughput contribution under the optimal product mix. Round to the nearest whole dollar.
CBQ4-D1-Q3,CBQ4-D1,scored_cases4.js,Cost Management,TOC priority ranking,select,Analyze,"Based on the TOC decision rule, which product should receive first priority in the production schedule?"
CBQ4-D1-Q4,CBQ4-D1,scored_cases4.js,Cost Management,Throughput accounting concepts,multi,Evaluate,Select the correct statements about throughput accounting as defined in the Theory of Constraints.
CBQ4-D1-Q5,CBQ4-D1,scored_cases4.js,Cost Management,TOC five focusing steps,fill,Understand,"In TOC, the five focusing steps begin with: Identify the system's ______."
CBQ4-D1-Q6,CBQ4-D1,scored_cases4.js,Cost Management,TOC terminology,match,Analyze,Match each TOC measure to its correct definition.
CBQ4-D2-Q1,CBQ4-D2,scored_cases4.js,Cost Management,Inventory carrying cost — JIT,numeric,Apply,Calculate the annual inventory carrying cost savings from transitioning to JIT. Round to the nearest whole dollar.
CBQ4-D2-Q2,CBQ4-D2,scored_cases4.js,Cost Management,JIT cost savings,numeric,Apply,Calculate the total annual savings including both inventory carrying cost reduction and defect cost reduction from trans
CBQ4-D2-Q3,CBQ4-D2,scored_cases4.js,Cost Management,Setup reduction — SMED,select,Analyze,Which JIT practice is most directly responsible for reducing the setup time from 8 hours to 1 hour?
CBQ4-D2-Q4,CBQ4-D2,scored_cases4.js,Cost Management,JIT system characteristics,multi,Evaluate,Select the characteristics that correctly apply to a JIT/lean manufacturing system.
CBQ4-D2-Q5,CBQ4-D2,scored_cases4.js,Cost Management,Kanban,fill,Understand,"In a JIT system, production is authorized by a visual signal called a ______ card."
CBQ4-D2-Q6,CBQ4-D2,scored_cases4.js,Cost Management,Lean terminology,match,Analyze,Match each lean concept to its correct description.
CBQ4-D3-Q2,CBQ4-D3,scored_cases4.js,Cost Management,Fixed overhead volume variance under different denominator levels,select,Apply,"Using Exhibit 2, what would be the difference in the fixed overhead volume variance if Summit Furniture changed its deno"
CBQ4-D3-Q3,CBQ4-D3,scored_cases4.js,Cost Management,Capacity measure implications on financial reporting,multi,Analyze,The CFO is evaluating the implications of the capacity denominator level choice. Which of the following statements corre
CBQ4-D3-Q1,CBQ4-D3,scored_cases4.js,Cost Management,Capacity denominator level selection for fixed overhead allocation,select,Evaluate,"Summit Furniture's Cutting Department can theoretically produce 50,000 units per year. After accounting for scheduled ma"
CBQ4-D3-Q4,CBQ4-D3,scored_cases4.js,Cost Management,Capacity management strategies — theory of constraints,match,Evaluate,The CFO must recommend a capacity management strategy for each department. Match each department's situation to the most
CBQ4-D3-Q5,CBQ4-D3,scored_cases4.js,Cost Management,Capacity policy — balancing accounting accuracy with stakeholder communication,select,Evaluate,Summit's CFO must recommend a denominator level to the board. The board is concerned about minimizing unfavorable volume
CBQ4-E1-Q1,CBQ4-E1,scored_cases4.js,Internal Controls,COSO — Control Environment component,select,Evaluate,"Summit Electronics' internal audit team has identified inconsistent tone at the middle, where plant managers tolerate mi"
CBQ4-E1-Q2,CBQ4-E1,scored_cases4.js,Internal Controls,COSO — Risk Assessment component and change assessment,select,Analyze,The internal audit team noted that Summit Electronics' risk assessment does not specifically address financial reporting
CBQ4-E1-Q3,CBQ4-E1,scored_cases4.js,Internal Controls,COSO — Control Activities component design,select,Evaluate,Summit Electronics has strong automated controls over accounts payable (three-way match) but no controls over manual jou
CBQ4-E1-Q4,CBQ4-E1,scored_cases4.js,Internal Controls,COSO — Information and Communication component,select,Analyze,Summit Electronics lacks a formal whistleblower hotline and communicates policies only on an ad hoc basis. Which COSO pr
CBQ4-E1-Q5,CBQ4-E1,scored_cases4.js,Internal Controls,COSO — Monitoring Activities component,select,Evaluate,"Summit Electronics relies on quarterly internal audit reviews and annual external audits for monitoring, with no ongoing"
CBQ4-E2-Q1,CBQ4-E2,scored_cases4.js,Internal Controls,Input control matching to data entry scenarios,match,Analyze,The internal audit team identified several scenarios where application controls should prevent or detect errors. Match e
CBQ4-E2-Q2,CBQ4-E2,scored_cases4.js,Internal Controls,Management override of controls and control effectiveness,select,Analyze,"The internal audit team discovers that the three-way match control (matching PO, receiving report, and invoice) can be o"
CBQ4-E2-Q3,CBQ4-E2,scored_cases4.js,Internal Controls,Processing controls — types and applications,multi,Analyze,"The ERP system includes processing controls in addition to input controls. According to Exhibit 2, which of the followin"
CBQ4-E2-Q4,CBQ4-E2,scored_cases4.js,Internal Controls,Classifying application controls by category,match,Analyze,MedTech's internal audit team is classifying application controls by type. Match each control description to the correct
CBQ4-E2-Q5,CBQ4-E2,scored_cases4.js,Internal Controls,Segregation of duties in automated systems,select,Evaluate,"The same employee in MedTech's AP department can create new vendor records, enter invoices, and process payments in the "
CBQ4-E3-Q1,CBQ4-E3,scored_cases4.js,Internal Controls,FCPA facilitating payments exception,select,Analyze,"Referring to Exhibit 1, the sales manager paid $500 to a customs official to expedite clearance of a shipment of emergen"
CBQ4-E3-Q2,CBQ4-E3,scored_cases4.js,Internal Controls,Third-party intermediary risk under FCPA,select,Evaluate,Apex's internal audit team discovers that the 15% commission paid to Agent X in Country X (Exhibit 1) was routed through
CBQ4-E3-Q3,CBQ4-E3,scored_cases4.js,Internal Controls,FCPA compliance program strengthening,multi,Evaluate,"Based on Exhibit 1 and Exhibit 2, which of the following actions should Apex Components take to strengthen its FCPA comp"
CBQ4-E3-Q4,CBQ4-E3,scored_cases4.js,Internal Controls,FCPA compliance responses by risk scenario,match,Evaluate,The internal audit team classified each risk scenario from Exhibit 1 for further action. Match each scenario to the most
CBQ4-E3-Q5,CBQ4-E3,scored_cases4.js,Internal Controls,FCPA accounting provisions and internal control requirements,select,Evaluate,Apex's CFO argues that the company does not need separate FCPA-specific internal controls because the company already ha
CBQ4-F1-Q1,CBQ4-F1,scored_cases4.js,Technology and Analytics,Cloud service model selection — shared responsibility,match,Analyze,"The IT steering committee is evaluating different cloud service models for MedTech's applications. Using Exhibit 1, matc"
CBQ4-F1-Q2,CBQ4-F1,scored_cases4.js,Technology and Analytics,Cloud economics and cost-benefit analysis,select,Analyze,"Using Exhibit 2, the CFO asks whether cloud migration makes financial sense. Which statement BEST analyzes the financial"
CBQ4-F1-Q3,CBQ4-F1,scored_cases4.js,Technology and Analytics,"Cloud security, compliance, and vendor risk management",multi,Analyze,The compliance officer raises concerns about data security and regulatory compliance in the cloud. Based on Exhibit 1 an
CBQ4-F1-Q4,CBQ4-F1,scored_cases4.js,Technology and Analytics,Cloud computing accounting — capitalization vs expense,select,Analyze,MedTech's controller is concerned about capitalizing cloud implementation costs versus expensing them. Under current acc
CBQ4-F1-Q5,CBQ4-F1,scored_cases4.js,Technology and Analytics,"Cloud deployment models — public, private, community, hybrid",match,Evaluate,The IT steering committee is considering different cloud deployment models. Match each deployment model to the scenario 
CBQ4-F2-Q1,CBQ4-F2,scored_cases4.js,Technology and Analytics,Artificial Intelligence & ML,select,Understand,OmniRetail's demand forecasting model requires historical sales data with known actual demand to predict future sales. W
CBQ4-F2-Q2,CBQ4-F2,scored_cases4.js,Technology and Analytics,Artificial Intelligence & ML,match,Apply,"For each machine learning application at OmniRetail, select whether it uses supervised or unsupervised learning."
CBQ4-F2-Q3,CBQ4-F2,scored_cases4.js,Technology and Analytics,Artificial Intelligence & ML,multi,Analyze,The data science team observes that the demand forecasting model performs poorly on stores with limited historical data.
CBQ4-F2-Q4,CBQ4-F2,scored_cases4.js,Technology and Analytics,Artificial Intelligence & ML,select,Evaluate,OmniRetail's fraud detection model uses machine learning rather than a traditional rule-based system with fixed threshol
CBQ4-F2-Q5,CBQ4-F2,scored_cases4.js,Technology and Analytics,Artificial Intelligence & ML,multi,Apply,OmniRetail's customer segmentation model identified 12 distinct customer clusters using unsupervised learning. Which of 
CBQ4-F3-Q1,CBQ4-F3,scored_cases4.js,Technology and Analytics,Data Privacy & Cryptography,select,Understand,MedSecure Health plans to encrypt its patient database using a method that uses the same key for both encryption and dec
CBQ4-F3-Q2,CBQ4-F3,scored_cases4.js,Technology and Analytics,Data Privacy & Cryptography,match,Understand,Match each cryptographic method to its correct description.
CBQ4-F3-Q3,CBQ4-F3,scored_cases4.js,Technology and Analytics,Data Privacy & Cryptography,multi,Understand,The CISO at MedSecure Health proposes using hashing to verify data integrity during patient record backups. Which of the
CBQ4-F3-Q4,CBQ4-F3,scored_cases4.js,Technology and Analytics,Data Privacy & Cryptography,select,Apply,MedSecure Health needs to securely share encryption keys with a hospital partner over the internet. The CISO recommends 
CBQ4-F3-Q5,CBQ4-F3,scored_cases4.js,Technology and Analytics,Data Privacy & Cryptography,multi,Apply,"Based on the HIPAA Security Rule technical safeguards, which of the following controls should MedSecure Health implement"
CBQ4-B2-Q1,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Inventory budgeting,numeric,Apply,Enter the ending inventory balance at March 31.
CBQ4-B2-Q2,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Receivables budgeting,numeric,Apply,"Enter the ending accounts receivable balance at March 31 (gross, before allowance for doubtful accounts)."
CBQ4-B2-Q3,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Payables budgeting,numeric,Apply,Enter the ending accounts payable balance at March 31.
CBQ4-B2-Q4,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Cash budgeting,numeric,Apply,Enter the ending cash balance at March 31.
CBQ4-B2-Q5,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Financial budget relationships,select,Analyze,Which budgeted financial statement item is NOT directly affected by the sales collection assumption?
CBQ4-B2-Q6,CBQ4-B2,scored_cases4.js,"Planning, Budgeting, and Forecasting",Financial budget preparation,match,Analyze,Match each budgeted balance sheet line item to the primary budget or policy that determines it.
